Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-72.260925	63.338272	25.365711	-184.2751	498.42856	-49.328243	6.0545115	-7.249296	-51.483143	112000	3.8146974e-09	4334.0415	-0.009684719	-74.9082	1.1309272	0.007879872	0.112	79.0	216.28487491607666
28	-62.634743	80.150024	20.729965	-189.47282	770.2	-44.84389	13.65592	32.857765	-52.50741	116000	-2.861023e-09	3421.3755	-0.011710309	-18.738037	1.1625654	0.007889185	0.11575	79.0	226.6715109348297
29	-23.199812	72.04558	62.389145	-135.93683	738.2	-51.377617	5.9765177	28.903555	-52.836525	120000	-3.8146974e-09	2608.7715	-0.010611486	-477.20508	1.153608	0.009054095	0.126	79.0	237.44760656356812
30	-51.09659	52.06761	36.90862	-116.451035	470.75	-43.010956	6.608641	-10.758584	-49.131596	124000	1.9073487e-09	1501.9436	-0.00785844	-216.64197	1.1362535	0.0055318032	0.10025	79.0	247.01458430290222
31	-19.084013	33.683205	26.826294	-67.84922	440.1111	-41.054718	11.966074	-10.682128	-51.53011	128000	-3.8146974e-09	1865.2467	-0.009475306	-125.6709	1.1500041	0.0077968445	0.145	79.0	257.1514902114868
32	11.368668	62.8039	93.56794	-47.679783	711.8	-34.468483	10.791238	1.7497249	-46.61198	132000	-9.536744e-10	2751.5066	-0.007722188	-114.47803	1.1537782	0.008108966	0.07975	79.0	266.9134991168976
33	52.944836	46.64409	138.93643	10.690945	696.6	-40.658047	5.7246847	-9.63372	-45.373207	136000	-3.242493e-08	5010.033	-0.007341404	-2522.7793	1.0938103	0.006735568	0.0525	79.0	277.66798996925354
34	33.07132	42.29728	83.8329	-26.11515	712.6	-6.201903	10.4225445	28.754108	-20.120594	140000	0.0	1646.7056	-0.00846814	-522.865	1.1070719	0.009336658	0.10425	79.0	288.03075528144836
35	7.549689	86.13499	85.27932	-124.05147	735.4	-7.002536	10.52723	21.254803	-25.622263	144000	-3.8146974e-09	2415.2715	-0.0086222645	-740.6221	1.0772765	0.008503662	0.10825	79.0	298.3277039527893
36	45.971344	43.28116	89.67293	-3.720632	1000.0	15.218502	14.664553	43.78466	-23.89601	148000	-4.7683715e-09	1964.0695	-0.006575571	-1437.2332	1.1274074	0.015161114	0.0845	44.0	310.48779296875
